respondent_id,age,bedtime_screen_time_minutes,total_daily_screen_time_hours,doomscroll_sessions_per_night,avg_doomscroll_session_minutes,sleep_hours_per_night,sleep_latency_minutes,number_of_night_wakeups,caffeine_intake_mg_per_day,anxiety_score,stress_score,sleep_quality_score,daytime_fatigue_score,number_of_news_apps_used,phone_checks_per_night,exercise_minutes_per_day,days_since_last_digital_detox,weekly_sleep_debt_hours,gender,occupation_status,country_region,primary_device_used_at_night,bedtime_routine_type,uses_night_mode,keeps_phone_in_bedroom,consumes_negative_news_content,uses_sleep_tracking_app,doomscroller,sleep_quality_category
D30127,31,59.0,3.66,2,34.2,7.5,17.0,3,94.0,4,7,5.0,3,1,5,70.0,29.0,0.8,Male,,India,Smartphone,,No,Yes,Yes,No,No,Good
D30128,16,40.0,4.13,2,18.0,7.7,21.0,1,65.0,6,8,5.0,7,1,2,24.0,30.0,2.0,Male,Employed Part-time,Nigeria,Smartphone,Watching Videos,Yes,No,Yes,No,No,Good
D30129,35,97.0,5.58,3,35.9,7.5,43.0,2,81.0,5,6,5.0,4,4,3,72.0,21.0,3.4,Male,Employed Full-time,India,Smartphone,Scrolling Social Media,Yes,Yes,No,No,Yes,Poor
D30130,30,47.0,2.8,3,15.4,7.9,9.0,2,85.0,3,5,5.0,4,0,3,12.0,101.0,0.0,Male,,United States,Smartphone,Scrolling Social Media,Yes,Yes,No,Yes,Yes,Poor
D30131,37,119.0,4.71,4,30.0,5.8,59.0,1,68.0,5,7,5.0,5,2,2,44.0,16.0,12.6,Male,Employed Full-time,India,Smartphone,Scrolling Social Media,No,Yes,Yes,No,Yes,Fair
D30132,26,54.0,7.17,2,24.2,8.1,49.0,2,314.0,5,7,5.0,4,1,2,51.0,21.0,2.3,Male,Student,Philippines,Tablet,Scrolling Social Media,Yes,Yes,Yes,No,Yes,Poor
D30133,15,39.0,1.73,1,40.8,8.7,22.0,0,158.0,4,6,5.0,7,4,2,77.0,14.0,0.0,Female,Unemployed,India,Smartphone,Watching Videos,Yes,Yes,No,Yes,Yes,Good
D30134,32,80.0,3.99,4,22.3,8.0,29.0,1,87.0,4,7,5.0,6,1,1,70.0,40.0,0.0,Female,Employed Full-time,India,Smartphone,Watching Videos,Yes,No,No,Yes,No,Fair
D30135,26,4.0,3.71,0,6.1,7.7,17.0,1,,4,7,5.0,6,1,1,40.0,22.0,0.0,Male,Employed Part-time,United States,Smartphone,Meditation/Journaling,No,Yes,No,No,No,Good
D30136,28,143.0,6.72,6,21.0,5.7,56.0,2,197.0,6,10,3.0,7,0,2,63.0,54.0,15.4,Female,Employed Full-time,India,Laptop,Scrolling Social Media,No,Yes,Yes,No,Yes,Poor
D30137,23,41.0,1.93,1,39.3,7.1,17.0,1,137.0,6,6,5.0,5,0,3,87.0,5.0,3.9,Female,Unemployed,United States,Smartphone,Watching Videos,Yes,Yes,Yes,Yes,No,Good
D30138,34,18.0,1.0,2,10.1,8.3,30.0,0,43.0,5,6,5.0,7,1,2,58.0,26.0,0.0,Male,Unemployed,United Kingdom,Smartphone,Scrolling Social Media,Yes,Yes,Yes,No,No,Good
D30139,28,184.0,9.19,9,15.6,5.8,85.0,3,246.0,7,8,3.0,10,0,5,12.0,47.0,11.5,Male,Unemployed,Philippines,Smartphone,Scrolling Social Media,Yes,No,No,No,Yes,Poor
D30140,25,38.0,3.15,2,20.9,7.3,22.0,1,14.0,3,5,5.0,9,2,2,38.0,59.0,3.8,Female,Employed Full-time,United Kingdom,Laptop,Scrolling Social Media,Yes,Yes,Yes,No,No,Good
D30141,46,11.0,3.22,0,11.0,8.0,2.0,0,88.0,3,5,5.0,5,1,0,42.0,20.0,0.3,Male,,India,Laptop,Meditation/Journaling,Yes,Yes,No,Yes,No,Good
D30142,20,25.0,2.52,0,20.1,6.9,2.0,3,128.0,5,8,5.0,4,1,4,62.0,74.0,8.0,Male,Employed Full-time,Australia,Smartphone,,No,Yes,No,No,No,Fair
D30143,26,49.0,3.79,1,50.6,8.3,40.0,1,150.0,9,8,5.0,6,3,2,73.0,56.0,0.0,Female,Employed Part-time,Australia,Laptop,No Fixed Routine,Yes,No,Yes,Yes,Yes,Fair
D30144,27,24.0,5.49,2,14.0,7.2,11.0,1,237.0,2,5,5.0,6,3,2,69.0,47.0,0.5,Male,Employed Full-time,United States,Smartphone,No Fixed Routine,No,Yes,No,No,No,Good
D30145,36,46.0,3.24,1,42.9,7.7,29.0,0,237.0,1,7,5.0,4,0,0,69.0,29.0,0.9,Female,Employed Full-time,Germany,Smartphone,Scrolling Social Media,No,No,No,No,No,Good
D30146,35,62.0,6.57,2,31.7,6.4,33.0,0,12.0,1,3,5.0,3,1,0,16.0,53.0,10.3,Female,Employed Part-time,United Kingdom,Smartphone,No Fixed Routine,No,Yes,No,Yes,No,Fair
D30147,29,31.0,2.16,2,17.8,7.4,26.0,0,102.0,4,7,5.0,3,2,1,69.0,1.0,3.9,Female,Employed Part-time,India,TV,Scrolling Social Media,No,No,No,Yes,No,Fair
D30148,25,46.0,2.41,2,24.8,8.7,10.0,3,219.0,4,7,5.0,6,2,4,54.0,0.0,0.0,Male,Student,United Kingdom,Tablet,Reading,Yes,No,Yes,Yes,No,Fair
D30149,34,61.0,2.75,2,26.4,6.8,44.0,0,73.0,5,7,5.0,5,2,2,46.0,8.0,11.1,Male,Student,United States,Laptop,Scrolling Social Media,No,No,Yes,No,Yes,Poor
D30150,34,28.0,1.3,1,27.8,6.2,29.0,2,,5,5,5.0,7,2,6,66.0,1.0,12.3,Male,Student,Philippines,Smartphone,Scrolling Social Media,No,Yes,Yes,No,Yes,Poor
D30151,34,76.0,6.53,4,19.5,6.6,43.0,2,100.0,6,7,4.0,5,3,4,28.0,8.0,10.5,Female,Unemployed,United Kingdom,Smartphone,No Fixed Routine,No,Yes,Yes,Yes,Yes,Poor
D30152,41,24.0,1.07,2,12.5,8.3,9.0,1,165.0,4,5,5.0,7,0,2,51.0,255.0,0.0,Male,Unemployed,India,Smartphone,Scrolling Social Media,No,Yes,No,Yes,Yes,Fair
D30153,41,15.0,1.41,1,10.9,8.8,12.0,2,39.0,5,7,,4,1,2,50.0,28.0,0.0,Female,Student,Australia,,Scrolling Social Media,No,No,No,No,No,Fair
D30154,31,16.0,1.0,0,18.3,7.0,25.0,0,68.0,3,5,5.0,5,3,2,30.0,38.0,8.3,Female,Student,United Kingdom,Smartphone,No Fixed Routine,No,No,Yes,No,No,Fair
D30155,26,53.0,2.11,1,49.9,7.8,34.0,3,147.0,5,6,5.0,5,1,4,52.0,47.0,0.5,Male,Student,United States,TV,Watching Videos,No,Yes,Yes,No,Yes,Fair
D30156,34,12.0,1.61,0,10.7,7.7,17.0,1,378.0,3,4,,6,1,5,62.0,61.0,3.3,Female,Student,Philippines,Smartphone,,Yes,Yes,No,Yes,No,Fair
D30157,32,61.0,4.61,4,18.4,7.9,44.0,3,37.0,8,7,5.0,5,1,6,83.0,34.0,0.0,Female,Student,UAE,Smartphone,Watching Videos,No,No,Yes,No,No,Fair
D30158,18,18.0,1.0,1,21.6,9.0,19.0,1,93.0,7,5,5.0,5,1,2,65.0,15.0,0.0,Male,Employed Part-time,Brazil,Laptop,Scrolling Social Media,No,No,Yes,Yes,Yes,Good
D30159,20,31.0,1.33,1,33.6,8.6,13.0,1,73.0,5,5,5.0,7,1,2,65.0,4.0,0.0,Female,Employed Full-time,India,Smartphone,Reading,No,Yes,Yes,Yes,Yes,Good
D30160,30,44.0,3.18,3,16.2,6.7,37.0,2,35.0,1,3,5.0,8,2,3,68.0,44.0,7.6,Male,Student,Nigeria,Laptop,Scrolling Social Media,No,No,No,Yes,Yes,Poor
D30161,21,34.0,1.71,0,36.1,8.3,26.0,0,101.0,4,6,5.0,5,0,0,64.0,33.0,0.0,Male,Unemployed,India,Smartphone,Scrolling Social Media,Yes,Yes,No,No,No,Good
D30162,22,7.0,4.0,0,4.3,6.6,10.0,2,25.0,5,8,,5,0,3,61.0,106.0,11.0,Male,Employed Full-time,India,Smartphone,Watching Videos,No,Yes,Yes,No,No,Poor
D30163,22,41.0,3.45,2,19.4,7.7,12.0,1,37.0,3,4,5.0,7,1,1,47.0,67.0,5.8,Male,Student,United Kingdom,Smartphone,Reading,No,No,No,No,No,Fair
D30164,28,20.0,4.85,1,20.5,6.8,14.0,1,152.0,3,7,5.0,7,2,1,63.0,4.0,9.4,Male,Employed Part-time,India,Tablet,Scrolling Social Media,No,No,No,No,No,Fair
D30165,25,88.0,3.77,4,20.5,6.3,41.0,2,132.0,6,8,5.0,5,0,2,45.0,30.0,9.2,Female,Student,India,Smartphone,Meditation/Journaling,No,No,Yes,No,Yes,Poor
D30166,17,15.0,5.34,2,8.5,7.5,18.0,0,79.0,5,9,5.0,4,0,2,81.0,63.0,3.2,Female,Employed Full-time,United Kingdom,Smartphone,Scrolling Social Media,No,No,Yes,No,No,Fair
D30167,22,17.0,1.0,0,9.4,8.1,33.0,0,73.0,2,1,5.0,4,0,1,44.0,7.0,0.0,Female,Student,India,Smartphone,Scrolling Social Media,No,Yes,Yes,No,Yes,Good
D30168,34,90.0,4.03,2,45.2,7.2,43.0,0,141.0,6,6,5.0,4,0,1,54.0,114.0,4.0,Male,Unemployed,Australia,Smartphone,Meditation/Journaling,No,Yes,No,Yes,Yes,Fair
D30169,31,105.0,4.24,5,20.6,7.1,33.0,2,115.0,6,4,4.0,9,1,2,28.0,41.0,5.6,Female,Unemployed,Nigeria,Smartphone,Scrolling Social Media,Yes,No,No,Yes,Yes,Poor
D30170,35,32.0,3.48,2,11.4,7.4,13.0,0,54.0,5,5,,3,2,0,34.0,68.0,5.3,Prefer not to say,Unemployed,India,Smartphone,No Fixed Routine,No,No,No,No,No,Good
D30171,27,14.0,2.12,1,14.5,8.8,2.0,1,294.0,3,8,5.0,6,1,1,0.0,74.0,0.0,Male,Student,India,Smartphone,Watching Videos,No,Yes,No,No,No,Good
D30172,34,99.0,5.35,4,24.4,6.8,50.0,2,173.0,3,5,5.0,4,4,2,26.0,55.0,6.3,Male,Employed Full-time,India,Smartphone,Watching Videos,Yes,Yes,Yes,Yes,Yes,Poor
D30173,50,17.0,1.72,1,14.8,7.0,19.0,0,97.0,3,3,5.0,7,1,1,50.0,19.0,9.1,Female,,UAE,Smartphone,Scrolling Social Media,Yes,No,No,Yes,No,Good
D30174,15,49.0,2.76,0,50.1,7.3,21.0,1,49.0,6,7,5.0,9,2,2,41.0,62.0,5.7,Female,Employed Full-time,UAE,Smartphone,Reading,No,Yes,Yes,No,Yes,Poor
D30175,41,19.0,1.23,2,6.6,7.6,10.0,0,47.0,3,5,,6,1,0,26.0,7.0,2.7,Female,Employed Full-time,Germany,Smartphone,Scrolling Social Media,No,Yes,No,No,Yes,Good
D30176,26,88.0,6.09,4,22.5,6.6,49.0,1,,6,9,4.0,7,1,2,54.0,33.0,1.5,Female,Employed Full-time,United States,Smartphone,Watching Videos,Yes,Yes,Yes,No,Yes,Poor
D30177,16,100.0,6.06,4,30.7,7.0,52.0,1,13.0,10,9,3.0,10,2,1,76.0,49.0,4.8,Female,Employed Full-time,Canada,Smartphone,No Fixed Routine,No,No,Yes,No,Yes,Poor
D30178,15,64.0,4.88,4,16.3,7.5,14.0,1,243.0,5,8,5.0,5,3,2,77.0,9.0,2.7,Female,Student,Germany,Smartphone,Scrolling Social Media,Yes,Yes,Yes,Yes,Yes,Good
D30179,26,74.0,3.34,4,15.7,7.4,55.0,3,58.0,4,7,5.0,8,2,4,46.0,5.0,3.5,Male,Student,India,Laptop,Reading,No,No,Yes,No,Yes,Good
D30180,25,32.0,1.33,2,17.9,7.3,29.0,0,37.0,6,9,,5,2,1,0.0,3.0,3.5,Female,Student,India,Tablet,Scrolling Social Media,No,No,Yes,No,Yes,Fair
D30181,31,28.0,2.28,1,32.1,8.6,31.0,1,218.0,3,5,5.0,7,0,3,80.0,54.0,0.0,Female,Employed Full-time,India,Smartphone,Scrolling Social Media,No,Yes,No,Yes,No,Fair
D30182,27,34.0,4.04,1,40.4,7.5,27.0,0,139.0,4,7,5.0,2,0,0,44.0,2.0,4.6,Female,Employed Part-time,India,Smartphone,Watching Videos,No,Yes,Yes,No,Yes,Fair
D30183,15,16.0,2.63,0,23.4,8.1,21.0,0,159.0,4,4,5.0,6,1,0,68.0,89.0,0.0,Female,Employed Full-time,Germany,Smartphone,Reading,No,Yes,Yes,No,Yes,Fair
D30184,33,77.0,3.1,3,23.7,7.9,27.0,1,136.0,4,6,5.0,5,1,3,72.0,140.0,2.0,Female,Student,United States,Smartphone,Watching Videos,No,Yes,No,Yes,No,Good
D30185,27,42.0,5.78,1,43.1,6.9,19.0,2,163.0,4,5,5.0,6,2,2,41.0,29.0,8.4,Male,Student,Philippines,Smartphone,Watching Videos,No,Yes,No,No,No,Good
D30186,35,38.0,2.69,2,22.7,7.3,26.0,1,159.0,6,5,5.0,8,0,1,41.0,15.0,4.0,Male,Employed Full-time,India,Smartphone,No Fixed Routine,No,Yes,Yes,No,Yes,Poor
D30187,32,13.0,4.25,0,10.1,8.0,18.0,1,23.0,5,6,5.0,4,2,2,82.0,4.0,1.4,Male,Employed Full-time,United States,Smartphone,No Fixed Routine,Yes,Yes,Yes,No,No,Good
D30188,35,25.0,2.11,1,25.9,6.8,20.0,0,83.0,6,5,5.0,8,1,1,,45.0,11.9,Male,Employed Part-time,United States,Smartphone,Reading,No,Yes,No,Yes,No,Fair
D30189,29,110.0,7.99,4,28.9,7.5,43.0,4,48.0,5,5,4.0,10,0,6,82.0,150.0,2.6,Male,Employed Full-time,India,Smartphone,Scrolling Social Media,No,Yes,No,No,Yes,Poor
D30190,31,49.0,1.96,2,21.1,8.3,26.0,1,58.0,3,6,5.0,5,3,1,72.0,0.0,0.0,Male,Unemployed,United States,Smartphone,Scrolling Social Media,No,Yes,No,No,Yes,Fair
D30191,30,75.0,2.9,6,14.9,7.7,60.0,3,38.0,5,9,,7,2,3,97.0,12.0,3.1,Female,Employed Full-time,Brazil,Smartphone,Watching Videos,Yes,Yes,No,No,Yes,Fair
D30192,33,50.0,2.15,3,17.0,7.2,29.0,2,61.0,4,6,5.0,8,0,3,41.0,1.0,9.2,Female,Employed Full-time,Brazil,Smartphone,Watching Videos,No,Yes,No,No,No,Fair
D30193,23,96.0,4.58,1,90.0,6.4,49.0,0,186.0,7,8,5.0,4,2,1,47.0,63.0,11.4,Female,Student,India,Tablet,Watching Videos,No,Yes,Yes,No,Yes,Fair
D30194,29,8.0,1.63,0,4.6,9.2,2.0,3,40.0,3,4,5.0,5,1,3,67.0,176.0,0.0,Male,Employed Full-time,Australia,,Watching Videos,No,No,Yes,No,No,Fair
D30195,21,16.0,1.0,0,15.8,7.2,19.0,0,69.0,4,7,,6,0,2,52.0,3.0,8.5,Male,Student,Germany,Smartphone,Scrolling Social Media,Yes,Yes,No,No,No,Good
D30196,30,15.0,1.0,1,9.8,8.2,23.0,0,66.0,4,6,5.0,4,1,1,57.0,12.0,0.0,Male,Student,Philippines,Laptop,Watching Videos,No,Yes,No,No,No,Fair
D30197,38,39.0,2.47,1,36.5,8.1,30.0,1,75.0,5,5,5.0,5,0,6,70.0,7.0,0.0,Female,Employed Full-time,UAE,Smartphone,Scrolling Social Media,No,Yes,No,Yes,No,Poor
D30198,27,7.0,5.09,2,1.1,9.0,15.0,2,61.0,4,5,5.0,7,1,3,67.0,0.0,0.0,Female,Student,Canada,Smartphone,Reading,No,Yes,No,Yes,No,Good
D30199,24,63.0,2.8,3,16.5,7.1,31.0,3,151.0,5,10,,6,3,5,23.0,29.0,7.0,Female,Student,Canada,Laptop,No Fixed Routine,No,No,No,Yes,Yes,Poor
D30200,28,27.0,3.86,0,25.4,6.7,19.0,2,88.0,8,8,5.0,8,0,4,45.0,51.0,8.3,Female,Employed Full-time,Germany,Smartphone,Reading,No,No,Yes,Yes,No,Good
D30201,28,44.0,2.92,1,47.1,6.7,43.0,0,87.0,6,5,5.0,5,0,0,47.0,15.0,10.6,Male,Employed Full-time,Philippines,Smartphone,Watching Videos,Yes,Yes,No,Yes,No,Fair
D30202,28,47.0,5.35,1,45.5,7.3,27.0,2,101.0,5,8,5.0,4,1,3,,16.0,6.8,Female,Student,UAE,Smartphone,Scrolling Social Media,No,Yes,Yes,No,Yes,Fair
D30203,27,48.0,3.81,1,46.3,7.2,46.0,0,82.0,5,6,5.0,8,1,2,66.0,7.0,5.9,Male,Employed Full-time,Germany,Laptop,Scrolling Social Media,No,Yes,Yes,Yes,No,Good
D30204,46,7.0,3.92,1,2.3,7.9,20.0,1,78.0,4,6,,4,2,2,54.0,48.0,2.1,Male,Employed Full-time,India,Smartphone,Scrolling Social Media,No,Yes,No,Yes,No,Fair
D30205,33,20.0,3.85,0,20.0,8.5,23.0,1,,2,4,5.0,4,1,3,37.0,13.0,0.0,Female,Employed Full-time,Canada,Smartphone,,No,Yes,No,No,No,Fair
D30206,31,41.0,1.84,0,43.9,7.0,43.0,3,191.0,7,6,4.0,7,0,4,,23.0,7.3,Male,Employed Full-time,India,Smartphone,Scrolling Social Media,No,Yes,Yes,Yes,Yes,Poor
D30207,35,23.0,1.06,2,13.0,7.6,19.0,3,,1,7,,4,2,5,85.0,2.0,0.8,Male,Employed Full-time,India,Smartphone,Reading,Yes,Yes,Yes,Yes,Yes,Fair
D30208,23,58.0,2.58,1,60.2,7.5,35.0,0,164.0,3,3,4.0,6,1,2,36.0,38.0,5.1,Male,Unemployed,United States,Smartphone,Scrolling Social Media,No,Yes,No,No,Yes,Fair
D30209,23,32.0,2.12,2,13.9,7.6,16.0,0,262.0,2,6,5.0,3,3,0,39.0,237.0,3.0,Male,Student,Philippines,TV,Watching Videos,Yes,Yes,Yes,No,Yes,Fair
D30210,15,88.0,5.73,4,22.3,7.0,56.0,4,198.0,5,8,4.0,9,2,4,91.0,1.0,6.1,Male,Unemployed,Germany,Tablet,Reading,No,Yes,Yes,Yes,Yes,Poor
D30211,23,63.0,3.23,4,18.9,6.7,26.0,3,88.0,7,6,5.0,6,0,3,87.0,24.0,7.4,Male,Student,United Kingdom,TV,Scrolling Social Media,Yes,Yes,Yes,No,Yes,Fair
D30212,32,43.0,4.57,3,14.7,7.7,31.0,1,92.0,3,4,5.0,4,2,1,75.0,28.0,0.8,Male,Employed Full-time,India,Smartphone,Scrolling Social Media,No,Yes,Yes,Yes,Yes,Fair
D30213,35,27.0,3.61,2,13.1,7.9,28.0,0,99.0,1,3,5.0,6,0,1,49.0,6.0,0.0,Male,Student,India,Smartphone,Reading,No,No,No,No,No,Good
D30214,30,28.0,1.39,2,11.6,7.4,22.0,2,46.0,6,7,5.0,6,1,4,54.0,38.0,5.1,Male,,Canada,Tablet,Scrolling Social Media,Yes,No,Yes,No,No,Fair
D30215,24,27.0,2.21,1,30.0,7.6,13.0,2,11.0,3,2,5.0,7,2,2,90.0,13.0,0.3,Male,Student,United States,Smartphone,Reading,Yes,No,No,Yes,No,Good
D30216,32,45.0,11.31,2,17.7,8.0,22.0,1,146.0,4,4,5.0,6,2,1,71.0,98.0,0.1,Prefer not to say,Employed Part-time,Canada,Smartphone,Scrolling Social Media,Yes,Yes,No,No,Yes,Fair
D30217,35,51.0,5.54,2,31.7,7.7,31.0,0,47.0,4,8,,6,0,2,77.0,13.0,4.4,Female,Employed Full-time,Germany,Smartphone,No Fixed Routine,No,Yes,Yes,Yes,Yes,Fair
D30218,18,30.0,2.32,2,16.5,6.5,10.0,1,101.0,6,7,4.0,8,1,4,75.0,7.0,12.1,Male,Student,United Kingdom,Laptop,Scrolling Social Media,No,Yes,No,Yes,No,Poor
D30219,35,161.0,7.0,6,26.2,6.0,61.0,2,192.0,6,7,4.0,10,1,2,40.0,23.0,12.8,Male,Employed Full-time,Germany,Smartphone,Watching Videos,No,Yes,No,No,Yes,Poor
D30220,26,93.0,4.61,4,22.7,7.0,51.0,3,133.0,7,8,5.0,7,2,3,46.0,58.0,8.1,Female,Employed Full-time,United Kingdom,Smartphone,Scrolling Social Media,Yes,Yes,Yes,Yes,Yes,Poor
D30221,35,106.0,7.14,4,31.0,7.0,46.0,2,143.0,6,4,3.0,10,2,3,40.0,49.0,6.6,Female,,United Kingdom,Smartphone,Scrolling Social Media,No,Yes,Yes,Yes,Yes,Poor
D30222,38,57.0,2.24,0,59.8,7.2,49.0,0,142.0,5,5,4.0,7,1,2,31.0,44.0,3.8,Male,Employed Full-time,India,Smartphone,Watching Videos,Yes,Yes,Yes,Yes,Yes,Fair
D30223,32,31.0,2.71,1,31.3,8.1,38.0,0,417.0,4,5,5.0,6,1,1,,117.0,1.6,Male,Employed Part-time,Brazil,Smartphone,Scrolling Social Media,No,Yes,Yes,No,No,Poor
D30224,15,16.0,1.46,1,16.7,7.5,29.0,2,106.0,3,4,5.0,7,0,4,91.0,23.0,4.4,Female,Employed Full-time,United Kingdom,,Scrolling Social Media,No,Yes,No,No,No,Poor
D30225,29,85.0,3.61,3,29.1,7.4,40.0,2,192.0,4,5,5.0,7,1,5,19.0,34.0,1.9,Female,Employed Part-time,United States,Smartphone,Scrolling Social Media,No,No,No,Yes,Yes,Fair
D30226,40,95.0,3.58,3,31.3,7.7,40.0,2,,3,8,5.0,9,2,4,54.0,76.0,2.7,Female,Employed Full-time,India,Smartphone,,Yes,No,No,Yes,Yes,Fair
D30227,23,21.0,2.33,0,19.6,8.1,35.0,0,175.0,7,6,5.0,6,1,1,44.0,56.0,0.0,Female,Employed Full-time,India,TV,No Fixed Routine,No,Yes,Yes,No,No,Good
D30228,23,23.0,2.63,0,23.5,8.1,14.0,1,90.0,5,5,5.0,5,0,2,82.0,132.0,0.0,Male,Employed Full-time,India,Smartphone,Watching Videos,No,Yes,Yes,Yes,No,Fair
D30229,30,13.0,2.24,0,15.2,7.5,18.0,1,136.0,4,6,5.0,5,2,2,74.0,24.0,6.6,Male,Unemployed,Australia,Laptop,No Fixed Routine,Yes,Yes,Yes,No,No,Good
D30230,25,53.0,1.95,4,19.1,8.1,43.0,1,232.0,3,6,5.0,5,2,2,22.0,130.0,0.9,Male,Employed Full-time,United States,Laptop,No Fixed Routine,No,Yes,Yes,Yes,Yes,Good
D30231,21,26.0,2.94,3,2.3,8.1,30.0,1,59.0,6,6,5.0,5,1,1,60.0,37.0,0.0,Male,Unemployed,Philippines,Laptop,No Fixed Routine,No,Yes,Yes,No,No,Fair
D30232,35,27.0,3.81,1,35.6,7.4,28.0,1,75.0,3,5,5.0,3,1,3,68.0,23.0,0.0,Male,Student,United Kingdom,Smartphone,Watching Videos,Yes,Yes,No,No,Yes,Fair
D30233,30,11.0,4.17,0,10.4,6.3,12.0,2,139.0,5,6,5.0,6,4,2,63.0,98.0,10.4,Male,Employed Part-time,United States,Smartphone,Reading,No,No,Yes,No,No,Poor
D30234,37,16.0,1.29,1,16.7,7.9,10.0,1,179.0,6,9,5.0,4,2,3,36.0,49.0,0.0,Female,Employed Full-time,Brazil,Smartphone,Reading,No,No,No,No,No,Good
D30235,23,171.0,7.48,6,31.2,5.8,69.0,3,123.0,8,6,4.0,9,1,4,44.0,26.0,12.5,Female,Student,United States,Smartphone,Reading,Yes,Yes,Yes,No,Yes,Poor
D30236,22,67.0,3.81,2,29.1,9.2,49.0,0,182.0,4,8,5.0,5,0,0,49.0,22.0,0.0,Male,Student,Brazil,Smartphone,Watching Videos,Yes,Yes,No,Yes,Yes,Good
D30237,19,23.0,3.22,1,21.1,8.7,40.0,1,81.0,3,6,5.0,7,4,3,22.0,60.0,0.0,Female,Unemployed,India,Smartphone,Reading,No,Yes,No,No,Yes,Fair
D30238,26,36.0,2.17,0,34.6,7.2,21.0,1,137.0,6,7,5.0,6,2,3,72.0,15.0,6.5,Male,Student,United States,Smartphone,Meditation/Journaling,No,Yes,Yes,No,No,Good
D30239,21,60.0,3.11,2,30.7,8.2,37.0,1,56.0,4,4,5.0,4,3,2,29.0,1.0,0.0,Male,Student,Canada,TV,Scrolling Social Media,Yes,Yes,No,No,Yes,Poor
D30240,26,45.0,3.4,3,15.8,7.0,31.0,1,82.0,5,4,4.0,6,3,2,70.0,9.0,5.5,Female,Employed Part-time,India,Smartphone,Meditation/Journaling,No,Yes,Yes,No,No,Poor
D30241,34,75.0,5.43,3,25.2,7.7,35.0,1,130.0,4,7,4.0,5,0,4,16.0,4.0,0.0,Male,Employed Full-time,United States,Smartphone,Scrolling Social Media,Yes,Yes,No,No,No,Fair
D30242,27,47.0,3.15,3,18.2,7.5,23.0,1,46.0,6,7,5.0,6,1,3,15.0,42.0,0.0,Female,Employed Full-time,India,Tablet,Meditation/Journaling,No,Yes,Yes,No,Yes,Fair
D30243,23,49.0,10.12,3,16.4,7.7,47.0,3,,7,6,5.0,5,0,3,82.0,57.0,2.7,Male,Student,Nigeria,Smartphone,Watching Videos,Yes,Yes,Yes,No,Yes,Poor
D30244,43,32.0,3.21,1,29.3,8.1,32.0,2,141.0,3,4,5.0,5,0,4,57.0,2.0,0.0,Female,Student,United States,Smartphone,Meditation/Journaling,Yes,No,Yes,No,No,Good
D30245,36,36.0,2.51,2,17.6,8.1,30.0,1,143.0,4,6,5.0,4,0,4,45.0,93.0,4.1,Male,Unemployed,Canada,Smartphone,Meditation/Journaling,No,Yes,No,Yes,No,Fair
D30246,23,41.0,1.78,1,44.7,7.9,41.0,0,146.0,2,5,5.0,5,1,0,82.0,0.0,0.0,Female,Employed Full-time,Philippines,Smartphone,No Fixed Routine,Yes,Yes,No,No,Yes,Fair
D30247,33,21.0,3.88,0,16.7,6.6,23.0,1,72.0,5,5,5.0,3,0,2,79.0,10.0,11.0,Female,Unemployed,Philippines,Smartphone,Reading,No,Yes,Yes,No,Yes,Poor
D30248,30,48.0,3.39,0,48.6,7.1,17.0,3,21.0,4,2,5.0,5,2,4,33.0,32.0,7.1,Female,Student,India,Laptop,Scrolling Social Media,No,Yes,No,No,No,Poor
D30249,19,89.0,3.7,2,47.1,7.6,40.0,3,36.0,5,9,5.0,6,2,3,45.0,7.0,1.3,Female,Student,Australia,Smartphone,Watching Videos,Yes,Yes,No,Yes,No,Fair
D30250,43,15.0,2.23,0,15.9,8.2,9.0,0,69.0,7,8,,4,5,2,50.0,43.0,0.8,Male,Employed Full-time,United States,Smartphone,Reading,No,Yes,Yes,Yes,No,Good
D30251,24,57.0,2.24,1,53.0,7.3,52.0,4,101.0,6,5,3.0,9,1,4,63.0,5.0,4.2,Male,Employed Part-time,India,Smartphone,Scrolling Social Media,Yes,Yes,Yes,No,Yes,Poor
D30252,34,14.0,1.99,2,6.8,6.8,20.0,2,157.0,4,6,5.0,4,0,2,72.0,15.0,7.2,Male,Employed Full-time,United States,Smartphone,No Fixed Routine,Yes,Yes,No,Yes,No,Poor
D30253,15,57.0,3.53,3,20.0,7.3,26.0,2,82.0,2,2,5.0,9,3,3,87.0,25.0,4.1,Male,Employed Part-time,United States,Smartphone,Scrolling Social Media,Yes,Yes,No,Yes,Yes,Fair
D30254,24,12.0,1.0,2,2.5,6.9,18.0,2,18.0,2,4,5.0,7,0,3,69.0,1.0,8.3,Female,Employed Full-time,India,Smartphone,Reading,Yes,Yes,Yes,No,No,Poor
D30255,30,53.0,4.67,2,29.5,7.6,49.0,1,18.0,8,8,5.0,7,2,3,63.0,3.0,2.4,Female,Employed Full-time,United States,Tablet,No Fixed Routine,Yes,No,Yes,No,Yes,Fair
D30256,18,28.0,2.9,1,28.8,6.9,23.0,0,91.0,4,6,5.0,3,1,5,27.0,29.0,10.7,Male,Student,India,Smartphone,Scrolling Social Media,No,Yes,No,No,Yes,Good
D30257,37,55.0,2.93,1,59.0,7.1,46.0,0,,3,5,5.0,3,2,2,60.0,29.0,4.4,Female,Employed Full-time,Canada,Smartphone,Meditation/Journaling,No,Yes,No,No,Yes,Fair
